RuleSet	Average Value,	Connectedness	Chaos
432	14.4	-2.0500000000000000	1.03
433	14.317	-1.806000000000000	1.056
434	14.598	-1.2870000000000000	1.459
435	14.829	-1.8970000000000000	1.03
436	14.515	-1.6900000000000000	1.024
437	14.976	-1.6370000000000000	1.133
438	14.362	-1.6110000000000000	1.178
439	14.208	-1.545	1.05
440	14.502	-1.7810000000000000	1.498
441	14.707	-2.4410000000000000	1.107
442	15.034	-2.247	1.024
443	14.829	-1.8600000000000000	1.069
444	14.522	-2.545	0.973
445	14.554	-2.6260000000000000	0.717
446	14.829	-2.966000000000000	0.736
447	14.912	-2.782	1.062
448	15.046	-2.067	0.922
449	14.79	-2.452	0.813
450	14.176	1.8450000000000000	2.406
451	14.131	1.4880000000000000	1.984
452	14.406	1.4430000000000000	2.048
453	14.31	0.14100000000000000	1.843
454	14.227	1.0730000000000000	1.792
455	14.291	0.20699999999999900	1.754
456	14.598	5.218000000000000	3.526
457	13.971	1.3580000000000000	2.195
458	16.941	11.799	5.293
459	84.218	-0.11200000000000900	0.013
460	75.731	-3.5459999999999900	0.154
461	90.054	1.5690000000000000	0.051
462	67.539	-4.024000000000000	9.907
463	65.421	-2.058000000000010	16.006
464	65.709	-0.6989999999999980	24.838
465	93.28	0.9230000000000020	0.0
466	76.998	-0.6640000000000020	12.595
467	97.606	1.203000000000000	0.013
468	55.898	3.273000000000000	37.478
469	53.952	3.530000000000000	37.645
470	57.094	3.1770000000000000	38.669
471	38.176	11.969000000000000	28.666
472	28.89	15.511000000000000	18.944
473	42.163	10.653000000000000	32.058
474	61.811	2.223000000000010	41.402
475	59.296	2.9570000000000000	42.944
476	63.469	1.9210000000000000	42.829
477	91.411	0.4620000000000030	0.026
478	77.427	-3.4110000000000000	2.131
479	96.883	1.1510000000000100	0.0
480	69.267	2.8030000000000000	36.659
481	57.37	9.369000000000010	37.248
482	71.315	2.534000000000010	39.584
483	96.262	0.894999999999996	0.0
484	70.598	7.592000000000000	29.6
485	98.406	0.9629999999999940	0.0
486	62.784	-3.294000000000000	0.0
